                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.60263,                0.81289,                0.99588,                 1.5109,               0.070018,              0.0033313,              0.0033313
                      1,                0.12902,                0.93398,                0.99912,                 1.3934,               0.039358,              0.0060049,              0.0060049
                      2,                0.07666,                0.94932,                0.99974,                 1.3811,              0.0080384,              0.0080184,              0.0080184
                      3,                0.05452,                0.95686,                0.99956,                 1.3679,                0.00703,                0.00703,                0.00703
                      4,                0.03715,                0.96765,                      1,                 1.3621,                0.00703,                0.00703,                0.00703
                      5,                0.02569,                0.96887,                      1,                 1.3581,                0.00604,                0.00604,                0.00604
                      6,                0.01768,                0.97422,                      1,                 1.3566,                0.00505,                0.00505,                0.00505
                      7,                 0.0128,                0.97904,                0.99982,                 1.3516,                0.00406,                0.00406,                0.00406
                      8,                0.00735,                0.97948,                0.99991,                 1.3511,                0.00307,                0.00307,                0.00307
                      9,                0.00417,                0.98211,                0.99982,                 1.3495,                0.00208,                0.00208,                0.00208
